,KQ[0],KQ[1],KQ[2],KQ[3],KQ[4],KQ[5],KQ[6],KQ[7],KQ[8],KQ[9],KQ[10],KQ[11],KQ[12],KQ[13],KQ[14],KQ[15],KQ[16],KQ[17],KQ[18],KQ[19],KQ[20],KQ[21],KQ[22],KQ[23],KQ[24],KQ[25],KQ[26]
01-01-2017,48951,38019,34704,67014,27327,87012,25952,75465,67882,02584,3195,4449,1649,9303,1426,2417,1395,6498,2667,3984,288,772,769,21,75,17,11
02-01-2017,53103,49221,06903,33174,83183,61021,11411,94183,78490,70828,5509,5963,0813,4283,1233,4654,5306,7033,6797,7827,496,780,771,70,87,92,52
03-01-2017,73385,48201,42473,27236,07736,38170,18166,69212,95935,76832,0896,2312,8823,7876,0994,5467,3490,8951,6239,4412,475,567,232,47,06,52,90
04-01-2017,20896,60563,37480,84108,41292,99024,34337,31411,50954,05748,1853,3461,7476,7626,1765,2641,9573,3393,2390,5777,261,098,291,95,39,59,60
05-01-2017,86192,06614,75875,83836,92449,62160,08801,52274,37427,13385,2626,8619,1329,0918,7972,1714,3176,4768,3838,7804,676,730,269,46,90,28,81
06-01-2017,97266,89161,93341,72800,77355,64307,29844,69137,88751,47323,5664,2680,4451,9376,0352,8008,8382,1687,8027,5470,385,566,675,98,04,69,91
07-01-2017,95356,80607,13851,05670,36679,23982,55375,86907,07128,70078,7589,5182,7334,3974,0085,6746,0021,5852,4973,6342,619,205,226,77,64,30,47
08-01-2017,28820,11381,19080,65002,37762,38875,34441,78960,69744,59403,7770,7491,9268,0473,5723,9172,2019,4662,8315,9630,865,839,682,67,79,97,95
09-01-2017,68976,30388,12257,19952,07296,30433,53402,29384,33646,81766,5355,5841,3090,6162,0697,6419,0021,7758,7343,8524,304,802,438,37,75,93,58
10-01-2017,42040,17927,96340,04206,33007,06575,06110,64585,60072,46756,3380,4378,0763,6932,8046,6826,2057,2569,0032,4031,714,704,168,49,29,42,22
11-01-2017,07790,38501,32876,09066,18601,65439,44466,42978,13129,74589,2498,2503,8499,0858,1473,9195,9569,6836,7982,1708,887,788,831,48,06,60,91
12-01-2017,69974,44058,58015,79406,69174,17837,10484,08799,53685,41656,4303,0563,8667,7463,0718,3385,4085,9807,2971,0847,307,189,454,39,28,41,91
13-01-2017,96334,98788,66293,69259,75573,45340,46642,25326,62970,27006,9123,9845,8634,9251,9423,6580,7144,4441,7469,7895,569,515,965,95,45,86,79
14-01-2017,27739,70755,74349,42867,67000,36884,45207,91502,69791,67583,0780,9256,2340,3709,2007,9244,6693,0240,0095,4229,482,057,624,38,73,47,96
15-01-2017,02489,24979,88515,98493,86200,41531,83327,92901,98857,87865,8420,3117,7844,4582,2619,2876,1636,6547,0390,6891,330,380,734,75,87,48,81
16-01-2017,66332,66566,00446,08477,73765,90127,93696,08846,18129,71883,0760,9992,1292,7357,6291,9097,4969,3325,6195,8560,973,227,775,06,88,63,82
17-01-2017,81223,16783,97874,85107,56318,51138,01670,43830,98960,94641,9449,7408,6050,1618,3745,4092,4930,2674,3646,1230,199,795,011,03,79,15,93
18-01-2017,37845,29807,50438,12281,72133,28534,23915,25406,72071,49900,8066,9015,0752,5856,3259,8517,1585,3673,8299,4899,431,061,425,29,62,06,25
19-01-2017,80047,01378,15651,63595,78817,77317,70779,16699,07223,68678,1683,6572,0033,2469,2871,2967,7050,8155,1744,5974,613,863,070,26,19,44,04
20-01-2017,43033,66981,00008,01093,87766,17322,84368,86904,68668,03891,1089,7018,4089,3714,0088,8270,6344,9344,8816,3654,929,835,828,57,45,06,25
21-01-2017,64105,31919,32653,25801,46853,07320,70927,54689,88143,42823,6670,6681,0778,8967,8122,2200,3835,6251,0090,0216,380,072,658,46,40,35,84
22-01-2017,52911,57484,21812,05440,43220,15480,25180,17484,50346,27528,4913,3629,0712,9388,9534,5488,0524,7916,0174,3071,839,503,067,63,07,17,57
23-01-2017,00872,31705,60984,47113,51373,38768,47687,95903,49600,69751,0452,0664,0061,6691,3439,1630,5663,5326,5000,3646,012,295,386,11,40,55,56
24-01-2017,57089,31973,55292,95008,29700,31967,82340,35374,13005,99237,5745,0336,2046,7157,8516,6897,4840,3651,9223,8878,443,131,493,63,89,01,12
25-01-2017,74696,07028,50473,09772,92372,73026,82335,53394,01209,59514,0491,9321,4174,7991,4049,4346,1463,3249,9627,8166,614,974,913,76,33,86,63
26-01-2017,40519,96324,15673,41949,27420,33427,07693,20111,40778,69197,1903,1354,3166,6388,7352,3162,5211,7019,3786,1444,248,213,943,82,13,09,42
27-01-2017,40519,96324,15673,41949,27420,33427,07693,20111,40778,69197,1903,1354,3166,6388,7352,3162,5211,7019,3786,1444,248,213,943,82,13,09,42
28-01-2017,40519,96324,15673,41949,27420,33427,07693,20111,40778,69197,1903,1354,3166,6388,7352,3162,5211,7019,3786,1444,248,213,943,82,13,09,42
29-01-2017,40519,96324,15673,41949,27420,33427,07693,20111,40778,69197,1903,1354,3166,6388,7352,3162,5211,7019,3786,1444,248,213,943,82,13,09,42
30-01-2017,40519,96324,15673,41949,27420,33427,07693,20111,40778,69197,1903,1354,3166,6388,7352,3162,5211,7019,3786,1444,248,213,943,82,13,09,42
31-01-2017,31203,62513,40553,56923,42575,75031,96721,71538,12115,27456,6561,1106,4980,4392,1915,7240,4087,2123,9674,6806,742,177,895,54,76,97,40
01-02-2017,71838,34388,75053,17469,81055,26367,18205,54640,24100,10914,0133,3593,6429,2994,2549,6829,5542,9884,2702,6044,039,856,193,86,24,51,02
02-02-2017,09649,66948,00882,78207,82301,49691,85602,75883,38323,60596,6249,9666,9525,6370,4972,3121,1704,3614,8019,5250,707,132,142,16,67,61,85
03-02-2017,22913,76753,54451,20895,85913,57019,21294,67971,51631,47161,0942,7546,5633,4482,4430,0878,6870,7001,8768,8618,339,220,383,56,85,38,91
04-02-2017,74529,16323,85332,10658,76656,91791,03328,64220,99612,40734,6962,7532,5470,9118,4571,1214,9004,5909,4392,1564,910,745,678,36,60,65,93
05-02-2017,22998,67239,54221,46510,12411,03340,97675,74677,74107,96768,3906,4234,4548,8895,7215,6651,3368,2918,9365,5862,915,634,200,21,65,99,24
06-02-2017,06859,36204,21561,03468,30203,67766,10436,09337,29987,06935,6301,3106,2547,8479,3746,8094,3390,1200,6231,2146,748,321,879,08,79,90,88
07-02-2017,99866,57847,51442,46591,12062,13545,27641,89221,99730,46481,0318,7258,9191,4381,1366,1921,1471,6007,6826,7855,152,225,686,78,67,84,03
08-02-2017,62814,04037,19375,51777,56391,32768,84320,46204,18434,90612,7298,8846,2329,2762,9861,3123,1528,5781,1014,9787,648,871,788,71,33,76,08
09-02-2017,66681,73256,64887,21325,31980,36813,28922,31124,20173,40355,4393,8958,4614,2836,8066,7357,4668,9411,7747,4627,191,598,976,51,82,20,40
10-02-2017,39252,08951,72297,46041,97319,64954,49280,02307,79233,18472,6663,9196,6324,1332,8329,6366,9446,0642,0476,1507,627,474,576,17,12,56,84
11-02-2017,78292,13801,83698,02396,84726,36654,59820,74795,53050,99998,1100,9505,0238,3902,3118,4285,8304,4751,7247,7999,402,467,336,85,12,01,79
12-02-2017,94247,48640,77320,05147,16529,77005,04955,15370,97331,99588,7658,2935,3218,0859,1271,3025,1552,8094,4241,1336,603,062,092,69,15,29,31
13-02-2017,94939,78568,08171,24784,20987,78984,05219,77842,90910,11598,8847,6032,9692,4834,2753,6003,2352,0459,8931,5886,963,358,253,23,37,62,12
14-02-2017,45613,12084,79747,47423,05389,98533,79637,50202,54927,62975,5379,2094,1211,0019,2266,2698,0033,6191,8177,5727,902,590,492,79,15,59,27
15-02-2017,48219,24698,35507,10848,74890,06906,20347,02091,44435,22634,4787,1138,4441,8836,5104,9219,7286,4202,6708,9785,125,945,161,32,69,17,13
16-02-2017,85543,83995,44127,76627,23927,31073,49305,17649,51458,74769,7331,8437,2091,6513,6928,4761,1673,9754,9817,4945,797,000,277,78,99,92,94
17-02-2017,77038,35172,79042,80758,66177,54303,03195,30527,16934,74233,4851,6785,4651,6283,4866,1230,8252,4012,9934,5239,924,144,973,70,37,96,22
18-02-2017,64476,71615,75087,96439,30210,26332,00556,10325,36843,56023,1718,9473,9609,8445,1282,0309,9718,4392,3193,3470,379,210,144,99,27,26,61
19-02-2017,13332,41006,49632,90937,79094,80240,20606,66726,36878,47064,0846,6160,6199,4082,8014,3300,9460,7754,1554,5907,628,520,674,00,09,97,08
20-02-2017,48532,96338,27482,96744,12640,18281,07931,45948,38461,83063,4553,5780,5866,4914,8668,8842,8806,2529,0323,9622,212,443,370,46,21,25,18
21-02-2017,79548,00844,89423,33701,17248,40380,02540,14757,44254,07787,6516,3442,4424,9799,6139,6265,1621,1837,1113,5382,666,785,378,15,45,55,81
22-02-2017,45266,36262,53861,46032,91048,90519,75427,64137,76428,93862,9576,4771,6243,8327,7081,9648,2917,7233,4324,7948,026,196,745,83,26,58,85
23-02-2017,44215,28061,68365,46568,55729,03146,10060,70203,65057,86632,1501,9218,2008,5629,0132,3389,4944,7259,7862,4234,685,083,719,42,79,90,82
24-02-2017,19659,14695,14008,67102,62830,53218,00426,05820,18474,99312,2785,0430,6253,3830,7373,9481,1674,6876,8727,9458,854,071,929,99,56,82,88
25-02-2017,87204,40529,35048,35694,52936,78384,72341,98577,62267,09092,6521,0427,1227,5340,3594,7925,3075,5696,5637,2379,266,348,312,78,37,36,60
26-02-2017,34623,33897,10033,87662,65112,27099,96255,73965,86347,30777,2131,3964,2199,2037,5273,8124,9088,2929,0710,9132,565,891,744,60,22,09,26
27-02-2017,09823,12038,43537,96161,36544,65451,49224,24775,47605,19540,6629,9810,5433,9691,8985,0085,4852,3648,9140,0826,511,252,295,39,88,57,38
28-02-2017,83098,02523,81706,02377,93551,97426,39937,34792,99033,11732,3668,5885,4165,7697,2729,2777,4938,2990,7723,2338,654,888,740,44,37,01,89
01-03-2017,14824,81052,98437,05793,45191,49191,80326,41223,62298,14841,9719,2336,9712,5428,6427,0043,0491,7788,1780,6537,405,208,522,29,31,25,11
02-03-2017,90801,99496,41358,95088,53031,00828,32377,09695,50749,18215,6706,2293,8428,8888,8355,4101,1516,9101,4650,1273,528,842,446,01,85,81,79
03-03-2017,42654,46946,48339,50992,54463,97805,49097,68947,38824,70216,3337,4102,9254,9212,2125,1630,7782,6866,0945,0882,725,961,651,82,83,14,35
04-03-2017,32217,67375,34841,93299,06349,59262,91098,88666,18975,81954,1515,5357,2950,4621,4289,6136,3640,1782,0465,5578,042,731,013,29,19,05,71
05-03-2017,00745,13222,06721,89405,00662,67727,79309,60776,33875,79432,0584,3092,9119,6126,6287,5387,1785,1474,0919,3920,268,301,504,83,77,19,53
06-03-2017,75615,69331,39976,98416,79921,34525,66835,87000,08478,90018,5714,8886,7452,6961,7716,6508,1599,9770,7690,4030,587,107,608,12,55,61,94
07-03-2017,86735,93610,76166,58831,54105,07681,80483,70092,67542,93244,3016,0914,8946,4106,1709,3347,0423,3778,9519,3252,509,950,805,95,03,97,55
08-03-2017,56949,61766,30684,50794,36852,51268,04625,81001,67938,99885,5198,3148,8521,8841,8208,2292,1883,0475,0611,6630,138,559,696,79,83,61,43
09-03-2017,00207,83225,65462,25059,93663,77252,21311,40866,84834,04436,0451,7720,8281,2272,6416,6390,1531,6338,1328,0951,635,554,138,77,06,78,61
10-03-2017,08701,54268,64694,21044,39636,94930,58847,21769,42776,61893,0024,3347,8477,5401,3235,6215,7312,7250,2469,2525,581,825,901,95,23,05,38
11-03-2017,53838,88971,73531,13624,10480,21033,03839,89553,15735,19447,8265,7482,4711,7517,7718,8815,9822,6412,5585,1376,823,811,557,43,36,61,60
12-03-2017,63995,81153,63018,78611,48864,57410,51037,88185,54544,01610,3889,1842,8356,3896,2746,3575,4538,0372,9755,7866,524,523,305,46,93,95,47
13-03-2017,51674,43886,53370,48061,93320,20068,91339,84243,14021,54419,9340,6093,2247,8478,7572,2999,3539,2741,9158,8040,728,265,147,09,66,02,32
14-03-2017,81040,64884,19198,80504,66687,33923,86094,06088,22495,89117,1423,5653,0558,2947,8085,8507,3857,5768,1229,7946,055,470,934,56,68,43,33
15-03-2017,98441,83527,07140,69019,62789,85223,17814,02056,49986,90627,8062,2069,6741,7466,3679,8168,8186,7023,2486,6865,797,440,072,09,07,41,11
16-03-2017,33000,27211,69543,30542,94479,86652,83668,17313,68377,04018,3027,8725,1501,4417,3060,7049,7374,2712,5775,4106,815,379,314,13,38,69,54
17-03-2017,72191,63718,72912,91838,37524,54811,37377,57689,11881,52707,9544,6543,1033,3187,5471,4879,1053,2430,8445,1813,957,680,089,39,03,99,63
18-03-2017,28263,65916,83703,20940,28688,65088,23689,33610,05937,76922,6610,7712,0796,5519,5718,9243,0473,0610,6779,0934,292,286,138,48,33,60,20
19-03-2017,34365,44341,20834,60921,75701,23662,50466,17180,23834,04315,9888,9328,9063,3717,6887,9933,7862,1764,8755,1087,589,515,013,60,34,45,22
20-03-2017,80860,17186,90948,39949,98412,96947,65814,77809,68009,29967,2059,3110,8103,5768,8183,4631,6561,6823,6922,8485,416,891,678,56,46,73,03
21-03-2017,15998,96694,90108,11196,14230,27886,53194,17669,82077,68695,0057,6241,5144,0693,9771,1960,9838,2491,8312,8135,160,071,734,49,60,02,12
22-03-2017,70175,09021,50710,08397,29635,51937,03655,39196,16330,95110,0898,7278,0642,5049,7152,4941,6691,0643,2509,1148,920,066,734,95,38,23,34
23-03-2017,06750,54615,30722,78570,07676,05466,79265,64415,49825,89174,1243,9967,1126,1378,5335,3780,4631,7949,3911,4373,560,528,854,72,68,35,81
24-03-2017,80732,33477,33204,14447,92836,64418,68126,38256,25174,13930,2131,9054,9480,1720,5056,3649,1835,9111,4393,2944,118,043,158,07,04,44,42
25-03-2017,17867,98033,56094,67088,74524,25992,49420,22964,30789,79661,4299,2259,4535,5916,5640,2626,9040,7576,7866,4089,101,852,726,70,96,27,34
26-03-2017,93508,02297,54155,39036,91483,73301,61549,88016,11791,29242,2445,2632,9521,7705,8669,8133,4492,1058,9953,4409,374,619,638,12,56,94,87
27-03-2017,13858,00004,54377,10573,60524,81199,30040,65471,95704,98733,0010,9806,7609,1865,1619,2745,9214,1989,0877,6787,207,360,489,69,23,15,53
28-03-2017,92233,72944,13016,99049,18855,02800,55900,58817,20013,11903,2930,3926,8863,9425,7757,6614,9366,1422,4776,2687,220,719,924,45,70,38,55
29-03-2017,18516,28141,35448,89228,44515,20377,28545,58981,05573,53604,8482,0640,1667,9127,0908,2409,6882,5389,0542,6199,105,254,168,53,28,75,39
30-03-2017,98628,33442,93343,24431,58851,00039,38265,91214,13825,71804,1733,0813,1741,3785,0442,2543,8507,9701,3924,7562,914,151,816,11,92,61,74
31-03-2017,57214,25675,88677,72819,49136,99499,77366,24508,41256,17712,4850,6076,4941,8662,6137,0183,0258,2131,5136,6498,581,346,909,23,73,39,69
01-04-2017,03235,64632,96043,45352,00175,41554,35168,90297,96680,80064,8911,7721,1916,4705,8960,4181,0310,4439,8722,8712,679,788,027,11,17,91,03
02-04-2017,31270,32376,92554,68227,99428,96690,98162,29174,50686,25605,4655,9646,6619,9177,5421,6672,6343,1321,4879,2708,878,578,465,09,14,62,80
03-04-2017,06143,99550,74513,07903,11293,00254,95919,66410,17871,64456,7227,8802,7736,4350,6903,3697,9334,6907,6681,8636,430,325,020,86,89,28,38
04-04-2017,69919,10955,56769,71887,38563,49922,09585,12289,29226,05283,0833,0351,0261,9664,3934,4553,8357,9186,6837,5543,202,584,765,99,41,72,10
05-04-2017,66007,94419,42889,04609,35372,83300,60710,47979,45914,68887,0908,5250,9795,4341,9915,1539,5220,0898,3822,9265,651,661,879,78,45,44,30
06-04-2017,55708,79948,63367,90852,63197,79012,77626,56843,11525,20904,2939,4367,9840,8750,0718,9639,3012,7477,4730,1903,973,574,296,51,84,52,36
07-04-2017,27281,91747,93338,48993,44842,47859,83497,23959,20479,24760,8520,9933,0681,2101,5800,4192,3536,4479,5165,6660,317,496,187,63,41,53,04
08-04-2017,99346,83485,87381,57937,53941,45773,73471,75803,27305,90006,2039,6917,2573,6608,7951,5602,5484,9792,9306,7627,603,658,736,25,16,95,45
09-04-2017,23716,02053,29923,00896,35634,16713,67065,99317,85749,76499,3400,5372,0431,4274,1798,8729,6709,2733,5004,3888,197,310,457,54,65,75,29
10-04-2017,34343,48005,80167,32078,80977,46463,97626,75609,00115,11641,4298,6395,1611,8961,1703,8430,5514,1976,0322,2609,438,974,011,22,44,06,14
11-04-2017,20459,63703,63101,46966,44000,92623,36979,01958,68958,21783,3395,1815,6246,7797,4522,3119,3602,7923,5026,4098,554,200,214,67,28,51,66
12-04-2017,64924,31562,70553,78600,73175,81560,21988,19344,08419,51925,9620,7710,3734,6234,4745,7731,2738,1946,6625,8888,251,303,352,84,11,54,15
13-04-2017,37311,88349,63059,07116,55496,20586,98255,22454,94793,54574,9568,4893,2366,9309,2110,5556,6881,6352,6575,3616,207,306,258,43,99,73,17
14-04-2017,78123,60370,44123,81141,38761,08184,81840,80471,95452,70706,9904,0896,6441,7724,9679,2481,5270,8400,8634,0082,097,612,577,42,73,76,98
15-04-2017,88945,18100,19633,03626,93208,24356,99422,01060,22287,71669,5274,9739,9789,3334,7867,9181,0784,8106,1744,4178,478,308,244,02,36,20,62
16-04-2017,73309,78527,70411,18706,11675,30554,42848,38141,47279,14608,3401,7052,1373,2350,3266,0607,5243,0319,9572,3977,533,535,330,40,29,57,82
17-04-2017,45622,10333,97980,99228,95867,56722,99067,25397,47504,07158,8616,6723,7538,9951,2181,4895,5409,3116,2304,3848,724,615,105,03,19,65,21
18-04-2017,03215,42141,28199,40238,30888,80947,91996,45310,91450,81998,7859,6948,8419,0867,7094,5800,5863,2263,6224,1689,136,190,997,01,37,87,71
19-04-2017,92086,41681,52862,80061,37227,69989,28943,99834,97152,12844,5505,9743,9038,0671,7171,0182,0076,9717,4360,6653,601,925,203,51,07,44,25
20-04-2017,64829,56685,93870,61618,24233,34184,43393,58282,66831,22367,1087,7887,2940,9730,6319,6838,7081,6697,4557,3799,250,935,157,98,60,40,29
21-04-2017,56407,03730,70471,67187,16589,42781,66998,62359,35111,27530,1098,7086,0548,7560,9563,0100,4960,4675,7347,5767,282,036,583,91,60,86,71
22-04-2017,59036,08440,87300,98127,23136,17174,15330,14453,96464,41560,2420,4834,9497,2072,0785,1761,2942,7512,8411,8962,765,735,320,10,95,73,75
23-04-2017,96705,15260,96183,21653,23955,16946,22116,07318,35457,65978,0171,6954,7864,1555,1222,2615,7587,7094,0496,9197,063,241,970,04,85,47,13
24-04-2017,80384,94795,39622,41123,19014,80429,62284,88419,41086,30802,7872,4165,3593,5526,6141,1630,7617,7320,4815,3968,319,842,110,36,32,31,09
25-04-2017,57149,01245,34607,43057,05436,33432,43808,99439,06253,36530,4261,8710,3895,6064,0513,9256,4855,2973,9473,9012,562,067,730,82,79,45,11
26-04-2017,71071,15944,65027,20026,72319,97382,65363,71786,62057,41358,9568,8637,1321,4273,5518,9009,4121,9715,8848,1319,690,798,519,08,32,69,90
27-04-2017,24363,37495,39103,59626,55295,51653,34318,17096,10350,10442,6957,2679,6363,8909,8125,0762,7373,8747,6293,0864,526,726,837,98,53,61,41
28-04-2017,26852,99957,01212,84009,27717,07115,21241,42700,19390,62911,6512,1162,3732,1632,0777,2235,7327,6098,1010,2416,622,725,217,51,69,23,66
29-04-2017,54621,45168,79790,49952,88360,30891,99629,70422,98040,58497,0421,5420,5427,8175,3361,1404,2466,2301,4035,0544,272,369,077,95,84,58,38
30-04-2017,13176,69685,05658,20160,60395,61550,89692,83890,85092,31313,3350,5866,7287,0661,8046,0834,1312,5532,9327,6679,825,120,950,29,83,47,14
01-05-2017,61365,56408,66434,93438,68340,78763,16176,95507,98038,55528,7176,1338,4906,7836,7848,7383,3169,0830,6150,4703,157,846,460,96,38,57,37
02-05-2017,42808,19248,89144,56959,08919,11918,15856,48764,77144,40894,3486,6599,2430,3751,8262,7033,3159,5993,6532,2664,984,504,762,23,46,36,83
03-05-2017,99681,57246,11750,39072,63572,83069,58464,51529,45242,50341,4623,1223,4687,2015,4132,1592,6914,5203,2696,6895,120,930,224,71,41,81,32
04-05-2017,18574,29053,82319,02911,45087,19155,25765,99345,59650,45365,1588,7256,4019,8931,6022,0891,7066,6131,2487,3234,632,958,041,26,11,99,88
05-05-2017,95129,94246,34792,26463,56566,77820,36515,28204,00683,67733,4244,5180,1493,9512,9911,9779,4735,7465,2269,7330,558,021,463,76,32,14,07
06-05-2017,61795,37838,69674,66371,00845,75765,98086,12245,22548,11355,1860,5584,7749,8410,6208,1656,1059,9777,9491,6183,585,143,705,27,65,98,92
07-05-2017,26439,86057,77772,43986,18553,38377,58927,70562,19143,92683,3887,8794,8937,1495,6104,4167,4766,5605,6539,3798,681,975,829,20,18,47,27
08-05-2017,51610,76472,85193,08050,90454,70403,65508,91268,38922,23919,7808,7176,4981,0904,0408,8181,5827,5529,3419,0681,890,973,503,18,67,32,04
09-05-2017,97276,18490,63991,89107,21906,74478,99002,99964,93645,96502,5480,6193,5851,4324,8886,8774,3991,6311,8681,5452,639,942,779,09,41,15,73
10-05-2017,56062,90763,95001,34570,31314,01383,15159,80108,44475,11423,5961,0092,4512,7487,7067,5752,5614,1601,6305,8662,118,121,686,57,53,82,32
11-05-2017,16161,39870,68431,67685,48526,29521,16628,42795,50325,87337,1571,3844,5718,2477,2680,3726,0071,1438,2579,7711,801,799,099,25,58,43,64
12-05-2017,08792,62799,37804,22903,29328,78510,00124,91634,39163,05578,4719,3202,8013,7723,5710,4397,7276,1943,8952,4123,702,923,449,92,12,71,95
13-05-2017,58255,20821,68070,01084,68912,20282,52719,48705,81592,09676,0326,3896,9853,3507,5653,7148,8608,7022,1683,8019,254,670,933,02,13,97,76
14-05-2017,30587,52515,00417,71005,38176,97016,98016,25949,18499,80022,3303,2041,5924,6620,8622,9839,1919,2130,0425,7917,493,911,219,44,69,39,34
15-05-2017,95749,95386,35952,86272,89532,68740,01644,82305,19536,58706,3896,6955,1594,1131,9571,2424,2107,2990,7389,1255,258,483,322,29,62,49,44
